"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Castanea","Ceanothus/Rhamnus","Corylus","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Juniperus","Larix","Lonicera","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"1","14674","Blackwoods Hollow",44.313195,-68.22364,10,3,8,0,11,0,0,0,3,0,64,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,179.5,0,21,1,0,0,0,9,1,0,0,0,0,1,0,1
"2","14674","Blackwoods Hollow",44.313195,-68.22364,14,3,53,0,10,0,0,0,0,0,156,0,0,0,0,1,0,0,0,0,14,0,0,0,3,0,3,0,58,0,13.5,1,5,0,1,2,2,0,0,1,0,2,0,37
"3","14674","Blackwoods Hollow",44.313195,-68.22364,16,2,37,0,4,0,0,0,2,0,47,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,168,2,21.5,2,0,0,0,6,1,0,0,0,1,7,1,3
"4","14674","Blackwoods Hollow",44.313195,-68.22364,18,11,38,0,0,0,0,0,1,0,666,0,0,1,0,2,0,8,0,0,8,2,0,0,14,0,51,4,70,1,28.5,0,1,0,0,2,3,0,0,0,0,27,1,6
"5","14674","Blackwoods Hollow",44.313195,-68.22364,21,6,4,0,0,0,1,0,2,0,150,0,1,0,0,0,0,11,0,0,6,0,0,0,0,0,57,1,57.5,0,28,0,3,0,1,3,3,0,0,0,0,27,0,2
"6","14674","Blackwoods Hollow",44.313195,-68.22364,23,8,2,0,0,0,9,0,0,0,169,2,1,0,1,0,0,3,0,0,8,0,0,0,1,0,41,0,26.5,2,62.5,0,0,0,0,3,4,0,0,1,0,32,0,0
"7","14674","Blackwoods Hollow",44.313195,-68.22364,24,20,8,0,1,0,3,0,0,0,297,0,0,0,0,3,0,13,1,0,8,0,0,0,0,0,35,0,37,0,132.5,1,2,0,0,7,11,0,0,0,1,31,2,0
"8","14674","Blackwoods Hollow",44.313195,-68.22364,25,5,5,0,0,0,0,0,0,0,149,0,0,0,0,3,0,4,1,0,2,0,0,0,3,0,153,0,123,0,59.5,0,1,0,0,10,4,0,0,0,0,23,0,0
"9","14674","Blackwoods Hollow",44.313195,-68.22364,27,10,8,0,0,0,0,0,0,0,172,0,0,0,0,1,0,6,0,0,1,0,0,0,1,0,42,0,44,3,120.5,0,2,0,0,6,2,0,0,0,0,50,0,1
"10","14674","Blackwoods Hollow",44.313195,-68.22364,29,14,5,0,1,0,0,0,0,0,150,0,0,0,1,0,0,14,0,0,7,0,0,0,4,0,34,0,55,1,47.5,0,2,0,0,10,0,0,0,0,0,32,0,1
"11","14674","Blackwoods Hollow",44.313195,-68.22364,30,15,2,0,1,0,0,0,0,0,200,0,1,0,0,0,1,6,0,0,3,0,0,0,2,0,24,0,33.5,0,58,0,3,0,1,5,2,0,0,0,0,23,0,1
"12","14674","Blackwoods Hollow",44.313195,-68.22364,32,9,20,0,1,0,2,1,2,0,214,0,0,0,3,1,4,10,1,0,7,0,0,0,3,0,64,0,17.5,3,84,0,8,0,1,6,2,0,0,0,1,28,3,2
"13","14674","Blackwoods Hollow",44.313195,-68.22364,34,32,3,0,2,0,0,1,0,0,203,0,0,0,0,0,0,14,3,0,7,0,0,0,0,0,9,0,7,9,47,0,2,0,0,13,0,0,2,0,0,23,1,0
"14","14674","Blackwoods Hollow",44.313195,-68.22364,35,25,5,0,0,0,0,0,0,0,152,0,0,0,1,0,0,3,4,0,5,0,0,0,0,0,11,0,20,4,112.5,0,4,0,0,14,3,3,0,0,2,34,1,5
"15","14674","Blackwoods Hollow",44.313195,-68.22364,37,8,2,0,0,0,0,0,0,0,157,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,40,1,8.5,10,44.5,0,0,0,0,15,1,0,0,1,0,31,0,0
"16","14674","Blackwoods Hollow",44.313195,-68.22364,40,55,7,0,0,0,0,0,0,0,144,1,0,0,4,0,1,15,4,0,10,0,0,0,2,0,50,1,19,0,103,0,3,4,0,10,2,2,0,0,0,28,2,10
"17","14674","Blackwoods Hollow",44.313195,-68.22364,42,22,3,0,0,0,0,0,1,0,146,0,0,0,0,0,0,5,1,0,25,0,0,0,0,0,43,0,3,3,55,0,8,0,0,7,1,1,0,0,0,19,0,1
"18","14674","Blackwoods Hollow",44.313195,-68.22364,45,34,4,0,0,0,1,0,0,0,143,0,0,0,0,1,1,6,2,0,23,2,0,0,1,0,30,1,22.5,3,98,0,3,1,1,10,1,0,0,0,0,26,2,10
"19","14674","Blackwoods Hollow",44.313195,-68.22364,47,43,12,0,0,0,0,0,1,0,119,0,0,0,2,1,0,8,1,0,72,0,0,0,0,0,28,0,10.5,3,75.5,0,3,3,1,8,0,0,0,0,0,52,4,1
"20","14674","Blackwoods Hollow",44.313195,-68.22364,50,28,12,0,2,0,0,0,0,0,116,0,0,0,1,0,0,9,1,0,79,0,0,0,3,0,47,1,10.5,14,133,0,13,0,0,11,11,0,0,2,0,94,1,1
"21","14674","Blackwoods Hollow",44.313195,-68.22364,53,63,9,0,0,0,0,0,0,0,159,0,0,0,2,5,0,12,8,0,63,0,0,0,1,0,18,0,13,1,83,0,9,0,0,19,2,0,0,0,0,28,3,9
"22","14674","Blackwoods Hollow",44.313195,-68.22364,55,3,20,0,1,0,0,0,0,0,195,0,0,0,1,0,0,2,1,0,3,0,0,0,2,0,23,1,26.5,0,27.5,0,9,0,0,6,2,0,0,0,0,8,0,1
"23","14674","Blackwoods Hollow",44.313195,-68.22364,57,56,6,0,1,0,0,0,1,0,110,1,0,0,0,1,1,6,1,0,60,0,0,0,0,0,33,0,4.5,7,64,0,3,0,0,14,2,0,0,0,0,94,4,1
"24","14674","Blackwoods Hollow",44.313195,-68.22364,59,7,1,0,2,0,0,0,0,0,70,0,0,0,0,0,0,7,1,0,113,0,0,0,0,0,30,0,6,2,79.5,0,5,0,1,10,2,0,0,1,0,43,6,9
"25","14674","Blackwoods Hollow",44.313195,-68.22364,60,1,1,0,1,0,0,0,0,0,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,8.5,0,22,0,1,0,0,2,0,0,0,0,0,2,0,0
"26","14674","Blackwoods Hollow",44.313195,-68.22364,62,29,2,0,0,0,0,0,0,0,82,0,1,0,0,1,0,3,1,0,40,0,0,0,1,0,24,0,2,3,99.5,0,2,2,0,14,0,0,0,0,0,51,0,0
"27","14674","Blackwoods Hollow",44.313195,-68.22364,65,15,5,0,0,0,0,0,0,0,148,0,0,0,1,2,0,5,3,0,20,0,0,3,1,0,59,0,7.5,2,129,1,0,0,1,15,2,0,0,0,0,94,0,3
"28","14674","Blackwoods Hollow",44.313195,-68.22364,70,8,9,0,1,0,0,0,0,0,47,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,39,0,8,5,118.5,0,9,2,0,16,2,0,0,0,1,89,4,3
"29","14674","Blackwoods Hollow",44.313195,-68.22364,75,16,13,1,0,0,0,0,0,0,117,0,0,0,0,1,0,0,1,0,7,0,0,0,1,0,8,1,6.5,0,85,0,1,2,0,42,0,0,0,0,0,45,4,4
"30","14674","Blackwoods Hollow",44.313195,-68.22364,80,16,13,0,2,0,0,0,1,0,62,0,0,0,1,7,0,2,5,0,24,0,0,0,1,0,11,0,8.5,0,94,12,4,16,1,30,2,0,0,0,0,43,1,2
