"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae undiff.","Betula","Carya","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","GS7","Otter Island Bog",46.993489,-90.696281,1,-45,3,-25,3,8,17,1,19,5,5,179,0,1,16,37,0,0,0,10,0,3,3,17,29,0,0,3,0,1,24,0,0,0,6,1
"2","GS7","Otter Island Bog",46.993489,-90.696281,10,-15,221,61,2,3,16,3,35,2,5,162,0,1,1,29,0,0,0,1,0,1,11,5,33,0,1,2,0,0,12,0,1,0,7,4
"3","GS7","Otter Island Bog",46.993489,-90.696281,20,47,369,170,2,1,7,0,2,3,0,210,0,0,0,34,0,0,0,0,0,1,5,0,70,0,0,2,0,0,12,0,0,0,15,1
"4","GS7","Otter Island Bog",46.993489,-90.696281,29,114,485,270,3,1,5,1,2,6,1,230,0,0,3,29,3,5,0,6,0,1,13,27,110,0,0,5,0,0,19,0,0,0,12,2
"5","GS7","Otter Island Bog",46.993489,-90.696281,39,197,612,380,2,5,13,3,4,2,2,129,0,0,1,11,0,0,0,0,0,6,9,9,174,0,0,3,0,0,29,0,0,1,6,0
"6","GS7","Otter Island Bog",46.993489,-90.696281,49,287,737,491,6,2,20,4,5,5,0,90,1,4,2,14,0,3,0,1,0,1,1,28,325,0,0,2,0,0,52,0,4,1,0,5
"7","GS7","Otter Island Bog",46.993489,-90.696281,59,378,853,602,2,3,22,1,5,1,2,83,0,2,5,16,0,1,0,1,0,4,1,0,243,0,0,3,0,0,54,0,6,0,1,3
"8","GS7","Otter Island Bog",46.993489,-90.696281,69,475,964,712,2,2,15,0,3,3,0,62,0,0,1,17,0,1,0,0,0,5,1,20,174,0,0,1,0,1,31,0,10,0,0,1
"9","GS7","Otter Island Bog",46.993489,-90.696281,79,572,1071,823,5,3,16,3,5,8,1,150,0,2,0,27,0,1,0,0,0,9,8,29,258,0,0,1,0,0,58,0,5,1,1,5
"10","GS7","Otter Island Bog",46.993489,-90.696281,89,678,1177,934,2,1,16,2,3,4,1,120,0,2,2,13,0,5,0,0,0,4,3,22,158,0,1,3,0,1,30,0,1,0,3,0
"11","GS7","Otter Island Bog",46.993489,-90.696281,99,784,1278,1046,0,2,6,1,4,6,1,59,0,0,3,0,0,0,0,1,0,1,1,27,218,0,0,2,0,0,34,0,0,0,0,1
"12","GS7","Otter Island Bog",46.993489,-90.696281,109,897,1379,1157,1,3,9,0,4,6,4,120,1,0,3,4,0,0,0,1,0,2,0,14,243,0,0,7,0,0,39,0,5,0,0,3
"13","GS7","Otter Island Bog",46.993489,-90.696281,119,1010,1480,1272,5,0,3,1,6,4,1,49,2,0,2,0,0,5,0,1,0,4,2,19,314,0,0,10,0,0,13,0,11,0,0,3
