"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Bistorta","Botrychium","Brassicaceae","Caltha","Caprifoliaceae undiff.","Carya","Caryophyllaceae undiff.","Celtis","Cephalanthus","Corylus","Cyperaceae","Diphasiastrum","Ephedra","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Galium","Huperzia","Ilex","Juglans","Juniperus","Lamiaceae undiff.","Larix","Liquidambar","Lycopodiaceae undiff.","Menyanthes","Morus","Nyssa","Ophioglossum","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Sarcobatus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"1","15244","Pinhook Bog",41.61499,-86.84671,5,2,0,9,211,1,1,10,0,3,0,0,0,0,0,6,0,4,3,0,1,0,0,16,8,1,7,0,0,0,2,3,0,8,0,0,0,0,1,0,0,3,0,0,4,2,5,6,2,24,0,1,0,59,0,0,12,6,0,0,0,0,7,0
"2","15244","Pinhook Bog",41.61499,-86.84671,100,6,2,0,6,0,1,2,0,2,0,0,0,0,0,24,0,0,0,0,7,0,1,3,0,14,6,0,0,0,3,0,0,1,0,0,0,1,0,0,0,8,0,0,4,2,7,0,6,3,0,0,1,205,0,0,0,1,0,1,6,0,6,0
"3","15244","Pinhook Bog",41.61499,-86.84671,210,3,3,1,5,0,0,2,0,2,0,0,0,0,0,27,0,0,0,0,52,0,0,19,0,26,5,0,0,1,1,0,1,2,0,0,0,0,0,0,1,11,0,1,2,2,4,0,3,3,0,0,4,191,0,0,0,1,0,2,7,1,18,0
"4","15244","Pinhook Bog",41.61499,-86.84671,300,4,1,2,80,0,0,1,0,2,0,0,0,0,0,11,0,0,0,1,6,0,0,6,0,14,4,0,0,0,3,0,0,4,2,0,0,1,0,0,0,8,0,0,3,1,5,0,5,8,1,1,1,140,0,0,0,4,0,1,3,0,17,0
"5","15244","Pinhook Bog",41.61499,-86.84671,390,6,2,4,65,0,0,4,0,4,0,0,0,0,0,15,0,0,1,2,9,0,0,14,0,24,9,1,0,0,3,0,0,5,0,0,0,0,0,0,0,6,0,1,1,3,4,1,4,11,2,0,6,161,2,0,3,2,0,1,2,1,10,0
"6","15244","Pinhook Bog",41.61499,-86.84671,480,6,1,3,19,0,2,2,0,2,0,0,0,0,0,17,0,0,0,0,3,0,0,20,0,32,11,1,0,1,9,0,0,1,0,0,0,0,1,0,0,9,0,0,2,5,3,0,4,14,0,0,2,148,0,0,0,1,0,1,9,0,17,0
"7","15244","Pinhook Bog",41.61499,-86.84671,554,10,1,1,12,0,4,0,0,3,0,0,1,2,0,26,0,0,0,0,4,0,0,21,0,42,6,0,0,0,2,1,1,3,1,0,0,1,0,0,2,6,0,1,1,4,5,0,1,3,1,3,4,179,0,0,0,0,0,2,6,1,15,0
"8","15244","Pinhook Bog",41.61499,-86.84671,579,1,2,1,4,0,1,0,0,4,0,0,0,0,0,24,0,0,3,1,6,0,0,16,0,8,8,0,0,1,1,0,0,0,0,0,2,1,0,0,0,3,0,1,2,5,3,0,7,2,1,0,1,251,0,1,0,0,0,0,2,1,9,0
"9","15244","Pinhook Bog",41.61499,-86.84671,609,4,1,0,1,0,4,1,0,0,0,0,0,0,0,19,0,0,1,1,13,0,0,15,0,1,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,2,0,1,2,22,0,0,275,0,3,0,1,0,1,1,0,6,0
"10","15244","Pinhook Bog",41.61499,-86.84671,639,3,3,0,11,1,4,1,0,3,0,1,0,0,0,20,0,1,5,2,24,0,0,44,0,8,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,3,3,5,0,6,22,38,0,6,245,0,1,0,4,0,2,0,0,9,0
"11","15244","Pinhook Bog",41.61499,-86.84671,673,1,0,0,3,0,2,2,0,4,0,0,0,0,0,10,0,1,7,0,39,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,8,0,2,75,528,0,5,164,0,0,0,1,0,1,0,0,7,0
"12","15244","Pinhook Bog",41.61499,-86.84671,703,9,0,0,11,1,0,1,0,4,0,0,0,0,0,24,0,0,1,0,25,0,0,11,0,27,1,0,0,0,4,1,1,0,1,0,0,0,0,0,0,3,0,0,1,8,2,0,5,8,11,0,10,191,0,2,0,12,0,0,4,0,13,0
"13","15244","Pinhook Bog",41.61499,-86.84671,733,5,1,0,3,0,0,3,0,2,0,0,0,0,0,29,0,0,0,3,4,0,0,2,0,13,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,5,0,1,0,0,0,0,223,0,0,0,5,0,0,0,0,25,0
"14","15244","Pinhook Bog",41.61499,-86.84671,767,1,1,3,7,0,3,2,0,1,0,0,0,0,0,7,0,0,4,0,10,0,0,0,0,2,5,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,5,0,6,12,588,0,7,281,0,0,0,14,0,0,0,0,9,0
"15","15244","Pinhook Bog",41.61499,-86.84671,797,4,0,2,11,0,3,3,0,0,0,0,0,0,0,5,0,1,58,0,70,0,0,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,6,0,10,16,232,0,6,245,0,1,0,12,0,0,0,1,11,0
"16","15244","Pinhook Bog",41.61499,-86.84671,827,2,0,0,4,0,1,10,0,0,0,0,0,0,0,19,0,0,69,0,30,0,0,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,10,0,3,4,0,0,2,224,0,1,0,2,1,0,0,0,8,0
"17","15244","Pinhook Bog",41.61499,-86.84671,861,1,0,4,13,0,3,5,0,0,0,0,0,0,0,17,0,0,109,0,41,0,0,0,0,2,5,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,4,3,7,9,0,10,5,3,0,7,230,0,0,0,2,0,0,0,0,12,0
"18","15244","Pinhook Bog",41.61499,-86.84671,871,3,2,1,8,1,1,14,0,1,0,0,0,0,0,8,0,0,201,1,39,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,8,0,14,5,2,2,4,225,0,0,0,3,1,0,0,0,18,0
