"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Campanulaceae undiff.","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae undiff.","Dryopteris","Elaeagnaceae undiff.","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Impatiens","Iva","Juglans","Larix","Liquidambar","Lycopodiaceae undiff.","Mentha","Moraceae undiff.","Morus","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Polypodiophyta undiff.","Polypodium","Populus","Potentilla","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Salsola","Sambucus","Sarcobatus","Saxifragaceae undiff.","Stachys","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Viburnum","Vitaceae","Xanthium","Zanthoxylum"
"1","19937","Spicer Lake",41.75738,-86.52208,0.5,-62,-43,-52,5.5,32,0,3,2,36,4,0,1,3,0,0,0,0,10,1,0,5,2,2,6,3,1,0,0,1,5,10,0,1,0,7,7,6,1,3,0,0,5,0,1,0,4,0,0,0,0,0,9,0,15,1,0,0,8,0,0,44,0,0,8,6,0,1,0,0,0,1,0,0,10,20,0,0,0,0
"2","19937","Spicer Lake",41.75738,-86.52208,8.5,-52,65,-14,5.5,27,0,2,2,48,5,0,1,5,0,0,0,0,15,1,0,3,2,2,10,0,0,0,0,1,6,4,0,0,0,7,6,8,0,2,0,0,2,0,1,0,3,0,1,1,0,0,7,0,15,1,0,0,5,0,0,40,0,1,6,2,0,1,0,0,0,1,2,0,10,16,0,0,4,0
"3","19937","Spicer Lake",41.75738,-86.52208,16.5,-30,114,33,5,21,0,1,0,57,5,2,1,7,1,0,0,0,13,0,0,4,0,1,8,0,0,1,0,0,5,4,0,0,0,1,3,3,0,0,0,0,0,0,0,0,3,0,3,2,0,0,4,0,9,9,0,1,3,0,0,36,0,0,2,1,0,1,0,0,0,0,4,0,8,11,0,0,75,0
"4","19937","Spicer Lake",41.75738,-86.52208,24.5,9,154,76,4,30,0,0,0,42,6,0,1,7,0,0,0,0,12,0,0,7,0,1,8,0,0,1,0,0,6,9,0,0,0,2,4,3,0,0,0,0,0,0,0,0,3,0,3.5,1,1,0,3,0,10,8,0,1,4,0,0,40,0,0,0,0,0,1,0,0,0,0,8,0,10,9,0,0,60,0
"5","19937","Spicer Lake",41.75738,-86.52208,32.5,78,209,137,3.5,36,0,3,1,5,1,2,3,8,0,0,0,0,15,0,0,9,0,1,6,0,0,0,0,0,37,20,1,0,0,0,5,2,0,3,1,0,0,0,2,1,7,0,4,0,1,0.5,5,0,1,0,0,1,0,0,0,77,0,0,4,2,0,0,0,0,0,0,17,0,24,1,0,0,5,0
"6","19937","Spicer Lake",41.75738,-86.52208,40.5,129,445,230,0,42,0,6,2,0,1,0,0,4,1,0,0,0,8,1,0,5,1,1,10,0,0,0,1,0,24,21,0,0,0,3,4,3,0,0,1,0,3,0,6,0,12,0,2,0,0,3,0,0,5,0,0,1,0,0,0,71,0,0,9,0,0,0,0,0,0,0,13,0,17,4,0,0,0,0
"7","19937","Spicer Lake",41.75738,-86.52208,48.5,191,841,403,5.5,57,0,0,5,2,0,1,0,3,0,0,0,0,8,0,0,2,0,0,5,0,1,0,0,0,20,29,0,1,0,5,8,3,0,0,0,0,3,0,8,0,12,0,7.5,0.5,1,1.5,0,0,1,1,0,0,3,0,0,50,0,0,6,0,0,0,0,0,0,0,25,0,23,4,0,0,0,0
"8","19937","Spicer Lake",41.75738,-86.52208,56.5,287,1106,600,4,26,0,0,1,1,2,1,2,4,0,0,0,0,8,0,0,4,6,0,14,1,0,0,1,1,30,26,3,0,0,9,2,4,0,2,0,0,1,0,2,1,7,0,1.5,1,1,0,1,0,7,2,0,0,1,0,0,65,0,0,7,0,0,0,0,0,0,0,5,0,27,2,0,0,1,0
"9","19937","Spicer Lake",41.75738,-86.52208,64.5,407,1346,797,1,57,0,1,4,3,0,2,5,4,1,0,0,0,3,0,0,3,1,1,7,0,0,0,0,0,18,53,7,0,0,1,4,1,1,0,1,0,2,0,3,0,7,0,1,1,0,0.5,2,0,9,0,0,0,4,0,0,50,0,0,5,1,0,0,0,0,0,0,1,0,16,5,0,0,0,0
"10","19937","Spicer Lake",41.75738,-86.52208,72.5,538,1552,996,2,28,0,0,4,8,0,0,1,5,0,0,0,0,12,1,0,1,2,0,4,3,0,0,0,0,64,29,1,0,0,1,3,1,0,0,0,0,0,0,0,1,5,0,6.5,3,0,0.5,0,0,12,2,0,0,11,0,0,54,0,0,4,0,0,0,0,0,0,0,2,0,24,3,0,0,0,0
